source,State,District,Rivers / Streams,start_date
news_reports,Maharashtra,Raigarh,Panvel Creek,2022-11-12 18:30:00+00
news_reports,Jharkhand,Garhwa,Danro,2022-11-14 18:30:00+00
news_reports,Goa,North Goa,Mandovi,2022-11-16 18:30:00+00
news_reports,Maharashtra,Thane,Vaitarna,2019-02-06 18:30:00+00
news_reports,Tamil Nadu,Vellore,Palar,2017-03-06 18:30:00+00
news_reports,Madhya Pradesh,Shivpuri,Parvati,2019-06-24 18:30:00+00
news_reports,Maharashtra,Hingoli,Penganga,2013-08-11 18:30:00+00
news_reports,Assam,Golaghat,Doikrong,2018-05-17 18:30:00+00
news_reports,Tripura,West Tripura,Howrah,2015-11-01 18:30:00+00
news_reports,Punjab,Jalandhar,Sutlej,2022-12-27 18:30:00+00
news_reports,Kerala,Ernakulam,Periyar,2018-09-11 18:30:00+00
news_reports,Kerala,Palakkad,"Gayathripuzha, Bharathapuzha , Kunthipuzha, Kalpathipuzha",2018-09-01 18:30:00+00
news_reports,Odisha,Jajapur,Brahmani,2016-02-26 18:30:00+00
news_reports,Haryana,Faridabad,yamuna,2022-12-28 18:30:00+00
news_reports,Punjab,Rupnagar,Sawan,2022-12-28 18:30:00+00
news_reports,Punjab,Shahid Bhagat Singh Nagar,Sutlej,2022-12-08 18:30:00+00
news_reports,Rajasthan,Chittaurgarh,Berach,2017-07-12 18:30:00+00
news_reports,Madhya Pradesh,Dewas,"Bagdi, Narmada",2022-12-08 18:30:00+00
news_reports,Rajasthan,Ajmer,Khari,2017-11-28 18:30:00+00
news_reports,Rajasthan,Sawai Madhopur,Banas,2018-02-17 18:30:00+00
news_reports,Haryana,Yamunanagar,"Boli, yamuna",2022-11-25 18:30:00+00
news_reports,Maharashtra,Nanded,"Manyad ",2019-06-09 18:30:00+00
news_reports,Rajasthan,Dhaulpur,Chambal,2019-08-31 18:30:00+00
news_reports,Rajasthan,Udaipur,Gomathi,2022-09-29 18:30:00+00
news_reports,Rajasthan,Jaipur,N/A,2019-02-06 18:30:00+00
news_reports,Karnataka,Udupi,"Udayavara, Suvarna",2018-09-16 18:30:00+00
news_reports,Karnataka,chamarajanagar,Kaveri,2019-09-19 18:30:00+00
news_reports,Karnataka,Uttara Kannada,Kali,2019-09-02 18:30:00+00
news_reports,Goa,South Goa,N/A,2023-02-26 18:30:00+00
news_reports,Madhya Pradesh,Sheopur,"Parbati, Chambal",2023-02-20 18:30:00+00
news_reports,Uttar Pradesh,Kushinagar,N/A,2023-02-22 18:30:00+00
news_reports,Assam,Nagaon,"Kopili, Borpani",2023-02-05 18:30:00+00
news_reports,Karnataka,Raichur,"Krishna ",2018-09-17 18:30:00+00
news_reports,NCT of Delhi,N/A,yamuna,2017-09-01 18:30:00+00
news_reports,NCT of Delhi,North East,yamuna,2018-09-01 18:30:00+00
news_reports,Assam,Golaghat,Doigrung,2018-05-22 18:30:00+00
news_reports,Himachal Pradesh,Una,not mentioned,2023-01-16 18:30:00+00
news_reports,Assam,Kamrup,"Digaru ",2018-07-20 18:30:00+00
news_reports,Assam,Tinsukia,Dehing,2017-01-12 18:30:00+00
news_reports,"Assam, Arunanchal Pradesh","Tinsukia, Tirap",Dirak,2018-01-25 18:30:00+00
news_reports,Assam,Sivasagar,"Puthimari, Dikhow, Mitong",2018-01-09 18:30:00+00
news_reports,Assam,Kamrup,Kulshi,2019-05-31 18:30:00+00
news_reports,Manipur,Thoubal,Thoubal,2018-12-29 18:30:00+00
news_reports,Tamil Nadu,Karur,Kaveri,2023-01-13 18:30:00+00
news_reports,Manipur,Thoubal,Thoubal,2017-11-21 18:30:00+00
news_reports,Maharashtra,Raigarh,"Kharghar Creek, Belapur Creek",2018-04-18 18:30:00+00
news_reports,Bihar,Gaya,Morhar,2023-02-20 18:30:00+00
news_reports,Maharashtra,Raigarh,Taloje,2015-04-26 18:30:00+00
news_reports,Jharkhand,Godda,N/A,2021-01-09 18:30:00+00
news_reports,Maharashtra,Raigarh,Taloje,2019-04-18 18:30:00+00
news_reports,Odisha,Nayagarh,N/A,2021-09-23 18:30:00+00
news_reports,Bihar,"Gaya, Patna, Bhojpur","Sone , Morhar, Punpun, Ganga, Falgu",2022-03-05 18:30:00+00
news_reports,Jharkhand,Garhwa,Turi,2021-02-12 18:30:00+00
news_reports,Odisha,Jajapur,Kharasrota,2022-03-26 18:30:00+00
news_reports,Madhya Pradesh,Morena,Chambal,2021-06-11 18:30:00+00
news_reports,Assam,Kamrup Metropolitan,Kolong-Kapili,2019-02-04 18:30:00+00
news_reports,N/A,N/A,N/A,2023-01-14 18:30:00+00
news_reports,Uttar Pradesh,Lucknow,N/A,2023-01-15 18:30:00+00
news_reports,Rajasthan,"Sikar, Bharatpur, Kota, Udaipur, Ganganagar, Bundi, Bhilwara, Banswara, Nagaur","Chambal, Luni, Sone , Brahmani, Kothari, Banas",2023-01-14 18:30:00+00
news_reports,Assam,Hailakandi,"Dhaleswari , Katakhal",2018-05-24 18:30:00+00
